#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:59:53 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:59:53	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F220A%2Fbarnard&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Barn&-out=RA1875&-out=DE1875&-out=Diam	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7220
#Name: VII/220A
#Title: Barnard's Catalogue of 349 Dark Objects in the Sky (Barnard, 1927)
#INFO	ivoid=ivo://cds.vizier/vii/220a	    IVOID of underlying data collection
#INFO	creator=Barnard E.E.	    First author or institution
#INFO	cites=1927cdos.book.....B	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/220A	    Dataset landing page
#INFO	publication_date=2012-11-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard:
#Name: VII/220A/barnard
#Title: Positions and Diameters
 63 	17 09 00	-21 20	 60.0
 64 	17 10 00	-18 21	
 65 	17 11 50	-26 34	 12.0
 66 	17 12 10	-26 46	  8.0
 67 	17 13 10	-26 44	
 67a	17 15 00	-21 46	 13.0
 68 	17 15 00	-23 40	  4.0
 69 	17 15 19	-23 48	
 70 	17 15 55	-23 55	  4.0
 71 	17 15 25	-23 53	  1.0
 72 	17 16 00	-23 30	
 73 	17 16 30	-24 10	  1.0
 74 	17 17 30	-24 05	
 75 	17 17 47	-21 55	
 76 	17 18 00	-24 18	
 77 	17 21 00	-23 45	 60.0
 78 	17 25 00	-25 30	180.0
 79 	17 30 00	-19 32	 30.0
 80 	17 30 14	-21 12	  2.0
 81 	17 30 55	-23 51	
 82 	17 31 00	-23 42	
 83 	17 31 20	-24 06	  7.0
 83a	17 37 54	-19 57	  4.0
 84 	17 39 00	-20 12	
 84a	17 50 20	-17 39	 16.0
 85 	17 54 50	-23 01	
 86 	17 55 09	-27 52	  5.0
 87 	17 56 00	-32 30	
 88 	17 56 56	-24 07	  2.0
 89 	17 57 20	-24 22	  0.5
 90 	18 02 20	-28 18	  3.0
 91 	18 02 30	-23 43	  5.0
 92 	18 08 16	-18 16	 12.0
 93 	18 09 35	-18 06	  2.0
 94 	18 18 58	-10 44	 15.0
 95 	18 18 37	-11 49	 30.0
 96 	18 19 30	-10 22	
 97 	18 22 12	-10 00	 60.0
 98 	18 25 31	-26 09	  3.0
 99 	18 25 48	-21 34	  7.0
100 	18 25 50	-09 14	 16.0
101 	18 25 50	-08 54	  8.0
102 	18 30 37	-13 51	  5.0
103 	18 32 42	-06 47	  4.0
104 	18 40 42	-04 40	 16.0
105 	18 41 00	-07 03	  0.5
106 	18 42 11	-05 13	  2.0
107 	18 42 52	-05 09	  5.0
108 	18 42 52	-06 27	  3.0
109 	18 42 50	-07 42	  0.7
110 	18 43 30	-04 56	 11.0
111 	18 44 00	-05 06	120.0
112 	18 44 25	-06 49	 18.0
113 	18 44 48	-04 28	 16.0
114 	18 46 27	-07 06	  6.0
115 	18 46 36	-06 49	  6.0
116 	18 46 48	-07 20	
117 	18 46 58	-07 34	  1.0
117a	18 47 04	-05 00	  7.0
118 	18 47 10	-07 36	  2.0
119 	18 47 59	-04 42	
119a	18 48 00	-05 20	 30.0
120 	18 48 16	-04 45	
121 	18 48 48	-04 46	
122 	18 50 11	-04 55	  4.0
123 	18 51 02	-04 53	  1.5
124 	18 51 05	-04 31	  3.0
125 	18 51 45	-04 33	  9.0
126 	18 52 25	-04 42	  8.0
127 	18 54 52	-05 37	  4.5
128 	18 55 03	-04 45	 10.0
129 	18 55 25	-05 29	  5.0
130 	18 55 16	-05 45	  7.0
131 	18 55 39	-04 33	  3.0
132 	18 57 51	-04 37	 16.0
133 	18 59 29	-07 05	
134 	19 00 11	-06 26	  6.0
135 	19 00 57	-04 07	 13.0
136 	19 02 14	-04 12	  8.0
137 	19 09 32	-01 33	
138 	19 10 00	+00 00	180.0
139 	19 11 32	-01 38	
140 	19 13 39	+05 00	 60.0
141 	19 13 52	+01 40	 20.0
142 	19 33 45	+10 14	 40.0
143 	19 35 30	+10 43	 30.0
144 	19 54 00	+35 00	270.0
145 	19 58 16	+37 20	 45.0
146 	19 58 49	+35 40	
147 	20 02 07	+35 01	 11.0
148 	20 44 50	+59 10	  3.0
149 	20 46 07	+59 04	  2.0
150 	20 47 50	+59 50	 60.0
151 	21 04 40	+55 49	 60.0
152 	21 11 30	+61 13	  9.0
153 	21 17 20	+55 55	 60.0
154 	21 17 40	+56 05	  8.0
155 	21 27 25	+44 25	 13.0
156 	21 29 17	+45 02	  8.0
157 	21 29 38	+54 07	  5.0
158 	21 32 22	+42 51	  3.0
159 	21 33 30	+42 40	 25.0
160 	21 34 00	+55 40	 31.0
161 	21 36 30	+57 15	  3.0
162 	21 37 08	+55 45	 13.0
163 	21 38 10	+56 08	
164 	21 42 02	+50 31	 20.0
165 	21 45 10	+59 38	 18.0
166 	21 47 16	+59 30	  5.0
167 	21 48 08	+59 29	  5.0
168 	21 48 32	+46 41	 10.0
169 	21 54 48	+58 10	 60.0
170 	21 54 00	+58 22	 15.0
171 	21 57 12	+58 16	 91.0
173 	22 03 20	+59 04	  4.0
174 	22 03 08	+58 28	 19.0
175 	22 11 00	+69 19	 60.0
201 	02 04 20	+56 30	 10.0
202 	03 18 00	+29 50	 22.0
203 	03 18 10	+30 20	
204 	03 20 50	+29 45	 14.0
205 	03 20 50	+30 40	 15.0
206 	03 21 30	+29 45	  5.0
207 	03 57 00	+26 00	
208 	04 04 00	+24 50	
209 	04 04 40	+28 00	
210 	04 08 00	+24 45	
211 	04 09 30	+27 30	
212 	04 11 40	+25 00	
213 	04 13 30	+26 45	
214 	04 14 10	+28 15	  5.0
215 	04 16 00	+24 45	
216 	04 16 20	+26 20	
217 	04 20 00	+25 50	
218 	04 20 30	+26 00	 15.0
219 	04 27 00	+29 20	120.0
220 	04 33 50	+25 45	  7.0
221 	04 36 00	+31 30	 45.0
222 	05 00 18	+32 00	 10.0
223 	05 14 40	+08 12	  8.0
224 	05 17 00	+10 30	 20.0
225 	05 22 00	+11 30	
226 	05 28 20	+33 37	 17.0
227 	06 00 00	+19 40	 12.0
228 	15 37 00	-34 07	240.0
229 	16 10 00	-27 00	 45.0
230 	16 20 00	-16 30	 60.0
231 	16 30 10	-35 10	 30.0
232 	16 35 10	-39 35	 10.0
233 	16 36 30	-35 10	 37.0
234 	16 38 30	-30 15	 18.0
235 	16 38 08	-44 15	  7.0
236 	16 41 00	-29 35	
237 	16 41 00	-29 45	 37.0
238 	16 44 50	-22 55	 13.0
239 	16 47 00	-30 55	 15.0
240 	16 51 00	-35 10	 20.0
241 	16 51 30	-30 00	 12.0
242 	16 57 00	-32 15	 19.0
243 	17 01 50	-29 25	 25.0
244 	17 03 00	-28 15	 25.0
245 	17 04 00	-29 15	  8.0
246 	17 04 30	-22 30	 15.0
247 	17 05 08	-30 06	  4.0
248 	17 05 10	-28 50	 10.0
249 	17 05 10	-29 00	 13.0
250 	17 05 10	-28 15	 15.0
251 	17 06 25	-20 00	 13.0
252 	17 07 12	-32 00	 20.0
253 	17 08 00	-22 25	 60.0
254 	17 12 30	-30 00	 40.0
255 	17 13 00	-23 20	  5.0
256 	17 14 18	-28 42	 50.0
257 	17 14 25	-35 30	 15.0
258 	17 14 40	-34 36	 40.0
259 	17 14 40	-19 10	 30.0
260 	17 17 06	-25 30	 10.0
261 	17 17 30	-22 55	 10.0
262 	17 18 00	-22 30	 30.0
263 	17 18 00	-42 40	 30.0
264 	17 19 30	-25 25	 10.0
265 	17 19 55	-25 05	 12.0
266 	17 20 40	-20 50	 30.0
267 	17 20 50	-25 07	  4.0
268 	17 24 00	-20 25	 75.0
269 	17 24 40	-22 40	 60.0
270 	17 25 20	-19 30	 11.0
271 	17 26 00	-34 10	120.0
272 	17 30 00	-23 20	 45.0
273 	17 30 16	-33 16	 15.0
274 	17 30 30	-22 39	 18.0
275 	17 30 50	-32 15	 13.0
276 	17 32 15	-19 45	 45.0
277 	17 33 10	-23 00	 18.0
278 	17 34 30	-32 15	 15.0
279 	17 37 00	-22 30	 60.0
280 	17 37 30	-20 40	 60.0
281 	17 39 10	-23 40	
282 	17 41 00	-23 25	 18.0
283 	17 43 00	-33 50	 75.0
284 	17 43 00	-14 20	 25.0
285 	17 44 30	-12 50	 15.0
286 	17 44 40	-35 35	 15.0
287 	17 46 05	-35 10	 30.0
288 	17 48 36	-37 04	  2.0
289 	17 48 40	-29 00	 25.0
290 	17 50 50	-37 08	  3.0
291 	17 51 27	-33 53	  5.0
292 	17 52 20	-33 20	 60.0
293 	17 52 50	-35 20	 18.0
294 	17 53 35	-28 36	  3.0
295 	17 56 00	-31 10	 50.0
296 	17 56 24	-24 32	  4.0
297 	17 57 00	-18 45	 75.0
298 	17 57 10	-30 06	  4.0
299 	17 58 30	-27 18	
300 	17 58 50	-32 40	
301 	18 01 30	-18 43	 30.0
302 	18 01 35	-23 59	 30.0
303 	18 01 50	-24 01	  1.0
304 	18 06 00	-18 45	
305 	18 06 30	-31 50	 13.0
306 	18 08 00	-25 45	  4.0
307 	18 11 20	-18 00	  6.0
308 	18 11 36	-22 17	  6.0
309 	18 15 30	-24 05	  5.0
310 	18 22 53	-18 40	  2.0
311 	18 23 10	-17 45	  6.0
312 	18 25 00	-15 40	 75.0
313 	18 28 46	-15 47	 15.0
314 	18 30 12	-09 49	 35.0
315 	18 34 54	-20 09	  5.0
316 	18 35 20	-02 15	  6.0
317 	18 38 40	-14 20	 20.0
318 	18 43 00	-06 32	 60.0
319 	18 45 30	-01 25	  7.0
320 	18 46 06	-06 00	 15.0
321 	18 47 05	-11 27	 13.0
322 	18 49 10	-04 37	  2.0
323 	18 51 00	-03 35	 17.0
324 	18 52 50	-03 10	 30.0
325 	18 53 18	-04 14	 15.0
326 	18 57 00	-00 34	 20.0
327 	18 57 48	-05 19	 25.0
328 	18 58 13	-04 26	  4.0
329 	19 00 44	+03 00	  6.0
330 	19 13 30	+07 20	 30.0
331 	19 20 00	+07 20	 40.0
332 	19 22 00	+08 30	
333 	19 23 00	+10 25	 60.0
334 	19 29 15	+12 03	  3.0
335 	19 30 50	+07 20	  6.0
336 	19 30 50	+12 04	  2.0
337 	19 31 10	+12 07	  3.0
338 	19 36 58	+07 10	  8.0
339 	19 38 00	+08 00	 60.0
340 	19 42 50	+11 06	  7.0
341 	19 45 18	+33 58	 30.0
342 	20 05 10	+40 50	  4.0
343 	20 09 00	+39 54	 13.0
344 	20 11 45	+39 50	  7.0
345 	20 17 00	+46 10	 15.0
346 	20 22 30	+43 20	 10.0
347 	20 23 55	+39 30	  1.0
348 	20 30 00	+41 40	 60.0
349 	20 43 00	+43 30	  6.0
350 	20 44 50	+45 25	  3.0
351 	20 48 16	+46 56	 20.0
352 	20 52 50	+45 25	 22.0
353 	20 53 00	+45 00	  9.0
354 	20 55 00	+57 40	 60.0
355 	20 55 05	+42 42	  5.0
356 	20 55 40	+46 12	 24.0
357 	20 56 20	+55 05	 30.0
358 	21 01 05	+42 47	 20.0
359 	21 03 20	+56 40	 20.0
360 	21 04 20	+56 00	 54.0
361 	21 08 23	+46 55	 20.0
362 	21 19 40	+49 40	 15.0
363 	21 20 30	+48 24	 40.0
364 	21 30 00	+54 00	 75.0
365 	21 31 00	+56 10	 22.0
366 	21 36 40	+59 00	 10.0
367 	21 40 25	+56 36	  5.0
368 	21 47 00	+58 24	 14.0
369 	22 11 20	+55 24	  5.0
370 	22 30 00	+56 00	

