#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T02:43:17 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T02:43:17	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII/118/ngc2000&-out.max=unlimited&-out.form=TSV&-out.meta=&-out=Name&-out=RAB2000&-out=DEB2000&-out=size	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#INFO	ivoid=ivo://cds.vizier/vii/118	    IVOID of underlying data collection
#INFO	creator=Sinnott	    First author or institution
#INFO	cites=1988cngc.book.....S	    Article or Data origin sources
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/118	    Dataset landing page
#INFO	publication_date=2022-10-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
   24	00 09.9	-24 58	  5.5
   25	00 09.9	-57 03	
I1532	00 09.9	-64 22	  1.6
   28	00 10.3	-57 01	
   26	00 10.4	+25 50	  2.2
   27	00 10.5	+29 00	
   31	00 10.5	-57 00	
I1533	00 10.6	-07 25	
   21	00 10.7	+32 59	  1.4
   29	00 10.8	+33 21	  1.8
   30	00 10.8	+21 57	
   32	00 10.9	+18 47	
   33	00 10.9	+03 40	
   17	00 11.0	-12 06	
I   2	00 11.0	-12 49	
   34	00 11.1	-12 06	
   35	00 11.2	-12 00	
   37	00 11.3	-56 58	
   36	00 11.4	+06 23	  2.4
   38	00 11.9	-05 36	
I   3	00 12.1	-00 25	
   39	00 12.3	+31 03	
   41	00 12.8	+22 02	
   42	00 12.9	+22 06	
   40	00 13.0	+72 32	  0.6
   43	00 13.0	+30 54	
   44	00 13.1	+31 17	
I   4	00 13.4	+17 29	
I1534	00 13.8	+48 09	
   48	00 14.0	+48 14	  1.7
I1535	00 14.0	+48 09	
   45	00 14.1	-23 11	  8.1
   46	00 14.1	+05 59	
I1536	00 14.2	+48 08	  0.7
   49	00 14.3	+48 14	
   47	00 14.5	-07 11	
   58	00 14.5	-07 10	
   51	00 14.6	+48 15	  1.8
   52	00 14.6	+18 33	
   50	00 14.7	-07 20	
   53	00 14.7	-60 20	  2.1
   55	00 14.9	-39 11	 32.4
   54	00 15.1	-07 08	
   56	00 15.4	+12 26	
   57	00 15.4	+17 18	
   59	00 15.5	-21 27	
   60	00 16.0	-00 18	
I1537	00 16.0	-39 19	
   61	00 16.5	-06 14	
   62	00 17.1	-13 28	
I   5	00 17.4	-09 33	  0.8
   64	00 17.5	-06 51	
   63	00 17.7	+11 27	  1.9
I1538	00 18.0	+30 04	
   67	00 18.2	+30 04	  0.4
   68	00 18.3	+30 04	  1.5
   69	00 18.3	+30 02	  0.4
   70	00 18.4	+30 05	  1.7
   71	00 18.4	+30 04	  1.8
I1539	00 18.4	+30 06	
   72	00 18.5	+30 02	  1.4
   73	00 18.8	-15 21	
   74	00 18.9	+30 03	
I   6	00 19.0	-03 16	  0.5
   65	00 19.1	-22 54	
I   7	00 19.1	+10 33	
I   8	00 19.1	-03 13	  0.7
   66	00 19.2	-22 57	
   75	00 19.5	+06 25	
   76	00 19.6	+29 56	
I   9	00 19.7	-14 07	  0.4
I1540	00 19.8	+23 43	
   77	00 20.0	-22 31	
I1541	00 20.0	+22 01	
I  12	00 20.3	-02 39	  0.7
   78	00 20.4	+00 49	
I  10	00 20.4	+59 18	  5.1
I  13	00 20.4	+07 42	  1.6
I  11	00 20.5	+56 36	
I1542	00 20.6	+22 37	  0.7
I1543	00 20.9	+21 53	  0.8
   79	00 21.0	+22 34	
   80	00 21.2	+22 21	  2.5
   81	00 21.2	+22 22	
   87	00 21.2	-48 38	
   88	00 21.3	-48 39	
   89	00 21.3	-48 41	
I1544	00 21.3	+23 02	
I1545	00 21.3	+21 59	
   82	00 21.4	+22 26	  1.3
   83	00 21.4	+22 26	  1.6
   85	00 21.4	+22 30	
   84	00 21.5	+22 36	
   86	00 21.5	+22 33	
   92	00 21.5	-48 38	
I1546	00 21.5	+22 30	
I1547	00 21.6	+22 31	
   91	00 21.8	+22 25	  2.5
   90	00 21.9	+22 25	
I1548	00 21.9	+22 01	
   93	00 22.0	+22 25	
   94	00 22.2	+22 28	
   95	00 22.2	+10 30	  1.9
   96	00 22.3	+22 33	
   97	00 22.4	+29 44	
I  14	00 22.6	+10 29	
   98	00 22.8	-45 16	  1.8
I1549	00 23.2	+06 59	
  101	00 23.9	-32 34	
   99	00 24.0	+15 47	  1.7
  100	00 24.0	+16 29	  5.8
  104	00 24.1	-72 05	 30.9
  102	00 24.4	-13 57	
I1550	00 24.4	+38 12	  0.6
  106	00 24.7	-05 10	
  103	00 25.3	+61 21	  5.0
  105	00 25.3	+12 53	  1.2
  107	00 25.6	-08 17	
  108	00 25.9	+29 13	
  109	00 26.2	+21 49	
  111	00 26.7	-02 38	
  112	00 26.7	+31 43	
  115	00 26.8	-33 41	
  121	00 26.8	-71 32	  1.5
  113	00 27.0	-02 30	
  114	00 27.1	-01 47	
  119	00 27.1	-56 59	
  116	00 27.2	-07 42	
  117	00 27.2	+01 19	
  118	00 27.3	-01 47	
  110	00 27.4	+71 23	
  120	00 27.5	-01 31	  1.8
I1551	00 27.6	+08 53	  2.7
  122	00 27.7	-01 38	
  123	00 27.8	-01 36	
  124	00 27.9	-01 49	  1.6
I  16	00 27.9	-13 05	  0.5
I  15	00 28.0	-00 04	
I  17	00 28.5	+02 39	
I  20	00 28.5	-13 00	  0.6
I  18	00 28.6	-11 34	  0.6
I  19	00 28.7	-11 38	  0.6
  125	00 28.8	+02 50	  2.0
  126	00 29.1	+02 49	  1.4
  127	00 29.2	+02 52	  1.0
  128	00 29.2	+02 51	  3.4
I  21	00 29.2	-00 10	  0.4
  130	00 29.3	+02 52	  0.9
  131	00 29.6	-33 16	  2.1
I  22	00 29.6	-09 03	  0.6
I1552	00 29.6	+21 29	  1.1
  129	00 29.9	+60 14	 21.0
  132	00 30.2	+02 06	  2.0
  134	00 30.4	-33 15	  8.1
I  23	00 30.9	-12 44	
  138	00 31.0	+05 10	
  139	00 31.0	+05 05	
  137	00 31.1	+10 11	
  133	00 31.2	+63 22	  7.0
I  24	00 31.2	+30 51	
I  25	00 31.2	-00 24	  0.8
  140	00 31.3	+30 47	
  142	00 31.3	-22 37	
  141	00 31.4	+05 11	
  143	00 31.4	-22 34	
  144	00 31.4	-22 39	
  136	00 31.5	+61 32	  1.0
  145	00 31.7	-05 09	  1.8
  135	00 31.8	-13 22	
I  26	00 31.8	-13 20	
I1553	00 32.7	-25 35	  1.0
  152	00 32.8	-73 09	
  146	00 33.1	+63 18	  7.0
I  27	00 33.1	-13 22	
I  28	00 33.1	-13 27	
I1554	00 33.1	-32 16	  1.6
  147	00 33.2	+48 30	 12.9
  149	00 33.7	+30 43	
  151	00 34.0	-09 42	  3.7
  153	00 34.0	-09 42	
  154	00 34.1	-12 39	
I  29	00 34.2	-02 11	  0.6
  148	00 34.3	-31 47	  2.4
  150	00 34.3	-27 48	  4.2
I  30	00 34.3	-02 05	  0.4
I  31	00 34.4	+12 17	  1.4
  156	00 34.6	-08 21	
  159	00 34.6	-55 47	
I1555	00 34.6	-30 01	  1.5
  155	00 34.7	-10 46	
  157	00 34.8	-08 24	  4.3
  158	00 34.9	-08 19	
I  32	00 35.0	-02 08	  0.4
I  33	00 35.1	-02 08	  0.5
I1556	00 35.1	-09 34	
  167	00 35.3	-23 22	
  161	00 35.5	-02 50	
I1557	00 35.5	-02 51	  0.6
I  34	00 35.6	+09 08	  3.4
  166	00 35.8	-13 37	
  176	00 35.8	-73 11	
I1558	00 35.8	-25 22	  3.4
  163	00 36.0	-10 07	  1.4
  160	00 36.1	+23 57	  3.2
  162	00 36.1	+23 58	
  164	00 36.5	+02 45	
  165	00 36.5	-10 06	  1.6
  168	00 36.7	-22 36	
  170	00 36.7	+01 51	
  169	00 36.9	+23 59	  3.0
  174	00 36.9	-29 29	
I1559	00 36.9	+23 59	  0.9
  173	00 37.2	+01 56	  3.5
  172	00 37.3	-22 36	  2.6
  171	00 37.4	-19 56	
  175	00 37.4	-19 56	  2.6
  177	00 37.5	-22 34	
I  35	00 37.7	+10 21	  1.3
I1560	00 37.7	+02 40	
  179	00 37.8	-17 53	
I  36	00 37.8	-15 26	
  180	00 38.0	+08 38	  2.6
  181	00 38.2	+29 28	
  182	00 38.2	+02 44	  2.3
  183	00 38.3	+29 30	
  184	00 38.5	+29 26	
  186	00 38.5	+03 09	
I  37	00 38.5	-15 23	  0.7
I1561	00 38.5	-24 20	  1.3
I  38	00 38.6	-15 26	  0.6
I1562	00 38.6	-24 17	  2.1
  190	00 38.9	+07 02	  1.0
  185	00 39.0	+48 20	 11.5
  191	00 39.0	-09 00	  1.5
I1563	00 39.0	-09 01	  0.6
  178	00 39.1	-14 10	  2.0
  209	00 39.1	-18 38	
I  39	00 39.1	-14 10	
I1564	00 39.2	+05 58	
  192	00 39.3	+00 51	  2.3
  193	00 39.3	+03 20	  1.7
  194	00 39.3	+03 02	  1.9
  196	00 39.3	+00 54	
  197	00 39.4	+00 53	
  198	00 39.4	+02 48	  1.3
I1565	00 39.4	+06 43	  1.7
I1566	00 39.4	+06 48	  0.6
I  40	00 39.5	+02 26	  1.2
  187	00 39.6	-14 41	
  189	00 39.6	+61 04	  4.0
  195	00 39.6	-09 12	  1.3
  199	00 39.6	+03 07	
  200	00 39.6	+02 53	  2.0
I1567	00 39.6	+06 37	
  201	00 39.7	+00 51	  2.2
  202	00 39.7	+03 31	
  203	00 39.7	+03 26	
I  41	00 39.7	-14 10	
  204	00 39.8	+03 17	
I1568	00 39.9	+06 50	  0.8
  207	00 40.0	-14 18	
  212	00 40.1	-56 10	
  205	00 40.4	+41 41	 17.4
  208	00 40.4	+02 44	
I1569	00 40.4	+06 42	  0.2
  220	00 40.5	-73 24	
  206	00 40.6	+40 44	
  210	00 40.6	-13 52	  5.4
  222	00 40.6	-73 24	
I1570	00 40.6	+06 45	
I1571	00 40.7	-00 19	  1.3
  215	00 40.8	-56 13	  1.2
  211	00 41.0	+03 26	
  231	00 41.0	-73 22	
I  42	00 41.1	-15 26	  0.6
  213	00 41.2	+16 28	
I1572	00 41.2	+16 16	
  216	00 41.4	-21 03	  1.8
  214	00 41.5	+25 30	  2.1
  217	00 41.5	-10 02	  3.3
  218	00 41.8	+36 21	
I  44	00 42.2	+00 51	  0.5
I1573	00 42.2	-23 32	
  219	00 42.3	+00 54	
  230	00 42.4	-23 38	
I  43	00 42.4	+29 38	  2.1
  227	00 42.6	-01 32	  2.1
  221	00 42.7	+40 52	  7.6
  223	00 42.7	+00 51	
  224	00 42.7	+41 16	178.0
  232	00 42.7	-23 34	
I  45	00 42.7	+29 40	
  226	00 42.8	+32 34	
  228	00 42.8	+23 30	
  235	00 42.8	-23 33	
I  47	00 42.9	-13 45	
  229	00 43.0	+23 29	
I  46	00 43.0	+27 15	
I1574	00 43.1	-22 15	  2.5
  225	00 43.4	+61 47	 12.0
  233	00 43.4	+30 35	
  234	00 43.4	+14 20	
  238	00 43.4	-50 11	  1.9
  241	00 43.4	-73 26	
  236	00 43.5	+02 56	
  237	00 43.5	-00 07	  1.8
  242	00 43.6	-73 27	
I  48	00 43.6	-07 53	
I1575	00 43.6	-04 09	
  188	00 44.0	+85 20	 14.0
I  49	00 44.0	+01 51	  1.9
I1576	00 44.2	-25 06	  0.6
I1578	00 44.5	-25 04	  0.6
  239	00 44.6	-03 47	
I1577	00 44.6	-08 08	
  240	00 45.1	+06 08	
  248	00 45.4	-73 23	
  249	00 45.4	-73 05	
I1579	00 45.6	-26 34	  0.8
  244	00 45.8	-15 36	  1.3
  243	00 45.9	+29 56	
  256	00 45.9	-73 30	
  245	00 46.1	-01 44	  1.4
I1581	00 46.1	-25 54	
I  50	00 46.2	-09 30	  0.6
I1580	00 46.3	+29 55	
I1582	00 46.3	-24 18	  1.2
I  51	00 46.4	-13 26	  1.0
  261	00 46.5	-73 07	
  246	00 47.0	-11 53	  3.8
  247	00 47.1	-20 46	 20.0
I1583	00 47.2	+23 05	
  250	00 47.3	+07 55	
I1585	00 47.3	+23 03	
I1584	00 47.4	+27 49	  1.8
  254	00 47.5	-31 25	  2.1
  253	00 47.6	-25 17	 25.1
  265	00 47.6	-73 29	
  251	00 47.8	+19 34	
  255	00 47.8	-11 28	  3.1
I1586	00 47.9	+22 22	
  252	00 48.0	+27 38	  1.8
  267	00 48.0	-73 17	
  257	00 48.1	+08 19	  2.1
  259	00 48.1	-02 47	  3.2
  258	00 48.2	+27 38	
  264	00 48.3	-38 14	  0.9
I  52	00 48.4	+04 06	  1.2
  269	00 48.5	-73 32	
  260	00 48.6	+27 42	  1.0
  262	00 48.8	+31 57	  1.4
I1587	00 48.8	-23 34	  0.8
  263	00 48.9	-13 06	
  266	00 49.8	+32 16	  3.2
  268	00 50.2	-05 12	  1.7
I  53	00 50.5	+10 37	
  270	00 50.7	-08 39	
  271	00 50.8	-01 53	  2.5
  273	00 50.8	-06 53	  2.6
I  54	00 50.8	-02 17	
  274	00 51.0	-07 03	  1.7
I1588	00 51.0	-23 33	
  275	00 51.1	-07 04	  1.5
  290	00 51.3	-73 09	
  272	00 51.4	+35 50	
  277	00 51.5	-08 35	
I  56	00 51.5	-12 51	  1.3
I1589	00 51.5	-34 28	
I  55	00 51.7	+07 43	  0.5
  276	00 52.1	-22 41	
  278	00 52.1	+47 33	  2.2
  294	00 52.1	-73 21	
I1591	00 52.1	-22 41	  1.3
  279	00 52.3	-02 12	  1.8
  280	00 52.5	+24 20	
  289	00 52.7	-31 12	  3.7
  281	00 52.8	+56 37	 35.0
  282	00 52.8	+30 37	
  288	00 52.8	-26 35	 13.8
  292	00 52.8	-72 50	
I1590	00 53.1	+56 35	
  283	00 53.3	-13 11	
I1592	00 53.5	+05 46	  1.1
I1597	00 53.5	-58 07	  1.4
  284	00 53.6	-13 09	
  286	00 53.6	-13 06	
  287	00 53.6	+32 29	
  291	00 53.6	-08 45	
  285	00 53.7	-13 10	
I1594	00 53.7	-47 39	  1.2
I1595	00 53.8	-45 11	  1.2
  299	00 54.0	-72 10	
  293	00 54.3	-07 14	
I1599	00 54.5	-23 29	  0.8
I1593	00 54.7	+32 30	
I1596	00 54.7	+21 31	  2.5
I1598	00 54.7	+05 46	  1.3
  303	00 54.8	-16 40	
I  57	00 54.8	+11 50	  1.1
  300	00 54.9	-37 41	 20.0
  306	00 54.9	-72 13	
  297	00 55.0	-07 21	
  298	00 55.0	-07 21	
I1600	00 55.0	-23 31	  0.7
I  58	00 55.1	-13 41	  0.6
  295	00 55.2	+31 31	
  296	00 55.4	+31 40	
I1601	00 55.6	-24 09	
I1602	00 55.9	-09 59	  0.7
  305	00 56.0	+12 06	
  304	00 56.1	+24 07	
I  60	00 56.1	-13 23	  0.6
  330	00 56.2	-72 29	  2.0
  301	00 56.3	-10 40	
  312	00 56.3	-52 47	  1.8
  302	00 56.4	-10 39	
  308	00 56.4	-01 47	
  307	00 56.6	-01 46	
  309	00 56.7	-09 55	  3.1
  323	00 56.7	-52 59	  1.3
I  59	00 56.7	+61 04	 10.0
  310	00 56.9	-01 46	
  314	00 56.9	-31 58	  1.2
  319	00 57.0	-43 50	  1.1
  328	00 57.0	-52 55	  2.8
I1603	00 57.0	-45 25	  1.3
I  61	00 57.1	+07 31	  1.5
  322	00 57.2	-43 44	  1.3
  321	00 57.4	-05 02	
  311	00 57.6	+30 16	
  317	00 57.6	+43 47	
I1605	00 57.6	-48 54	  1.6
  339	00 57.7	-74 29	  2.2
  313	00 57.8	+30 21	  3.6
  315	00 57.8	+30 21	  3.2
  316	00 57.8	+30 21	  3.6
  325	00 57.9	-05 08	
  327	00 57.9	-05 08	  1.9
  329	00 58.0	-05 04	  1.9
I1604	00 58.0	-16 15	
  318	00 58.1	+30 25	
  326	00 58.4	+26 52	  1.5
I1606	00 58.4	-12 11	
  324	00 58.6	-40 30	
  331	00 58.6	-02 43	
I  62	00 58.7	+11 49	  1.0
  320	00 58.8	-20 50	
  332	00 58.8	+07 06	
  333	00 58.8	-16 29	
  334	00 58.8	-35 08	
  336	00 58.8	-18 46	
I1607	00 58.9	+00 36	  1.1
  346	00 59.1	-72 11	 14.0
  335	00 59.3	-18 14	  1.2
I  64	00 59.4	+27 03	  1.3
I1608	00 59.4	-34 20	  1.7
I  63	00 59.5	+60 49	 10.0
I1611	00 59.7	-72 21	
  337	00 59.8	-07 35	  2.8
I1609	00 59.8	-40 20	  1.4
I1612	01 00.0	-72 23	
I  67	01 00.3	-06 55	
I  68	01 00.4	-06 57	
I  66	01 00.5	+30 48	  1.1
  338	01 00.6	+30 39	
  340	01 00.6	-06 53	
  341	01 00.8	-09 11	
  342	01 00.8	-06 47	
  343	01 00.8	-23 14	
  348	01 00.9	-53 15	  1.1
I  65	01 00.9	+47 41	  4.3
I  70	01 01.1	+00 03	
I  71	01 01.3	-06 47	
  345	01 01.4	-06 54	
  347	01 01.4	-06 49	
I  69	01 01.4	+31 03	
I  72	01 01.5	-06 46	
  344	01 01.6	-23 16	  0.9
I1610	01 01.7	-15 34	  1.2
  349	01 01.9	-06 49	
  350	01 02.0	-06 49	
  351	01 02.1	-01 55	
  352	01 02.1	-04 15	  2.7
  361	01 02.2	-71 33	  1.5
  353	01 02.6	-01 56	
  360	01 02.9	-65 37	  3.3
  355	01 03.2	-06 20	
  362	01 03.2	-70 51	 12.9
  354	01 03.3	+22 20	  0.9
  356	01 03.3	-07 00	
  371	01 03.3	-72 05	  8.0
  357	01 03.4	-06 20	  2.6
  376	01 03.9	-72 49	
  365	01 04.1	-35 07	
I1615	01 04.1	-51 08	  1.2
I1617	01 04.3	-51 02	  1.5
  359	01 04.4	-00 45	
  368	01 04.4	-43 16	
  364	01 04.6	-00 51	
I1613	01 04.8	+02 07	 12.0
  367	01 04.9	-12 09	
I  73	01 04.9	+04 46	
I1616	01 04.9	-27 26	  1.7
  369	01 05.1	-17 45	  1.3
I1614	01 05.1	+33 13	
  358	01 05.2	+62 02	
  395	01 05.3	-72 00	
I1624	01 05.3	-72 02	
I  74	01 05.9	+04 05	
I1618	01 06.0	+32 25	  1.2
  363	01 06.1	-16 34	
I1626	01 06.1	-73 17	
  378	01 06.2	-30 11	
  377	01 06.3	-20 03	
  366	01 06.4	+62 14	  3.0
I1621	01 06.4	-46 43	
  370	01 06.6	+32 25	
  372	01 06.7	+32 26	
  373	01 07.0	+32 18	
  374	01 07.1	+32 46	
  375	01 07.1	+32 21	  1.3
I1620	01 07.1	+13 58	  1.2
I  75	01 07.2	+10 51	  1.6
  379	01 07.3	+32 31	  1.8
  380	01 07.3	+32 29	  1.6
  382	01 07.4	+32 24	  0.4
  383	01 07.4	+32 25	  2.3
  384	01 07.4	+32 18	  1.1
  385	01 07.4	+32 19	  1.5
  406	01 07.4	-69 53	  3.8
I1619	01 07.4	+33 04	
  386	01 07.5	+32 22	  0.9
  387	01 07.5	+32 23	
  391	01 07.5	+00 56	
I1622	01 07.5	-17 30	
I1623	01 07.7	-17 28	
I1625	01 07.7	-46 54	  2.1
  388	01 07.8	+32 19	  0.8
  411	01 07.9	-71 46	
  396	01 08.0	+04 32	
  390	01 08.1	+32 27	
  416	01 08.1	-72 21	  1.1
I  76	01 08.2	-04 32	  0.7
I1627	01 08.2	-46 06	  2.5
  381	01 08.3	+61 35	  6.0
  405	01 08.3	-46 40	
  419	01 08.3	-72 53	  2.6
I1630	01 08.3	-46 45	  1.7
  392	01 08.4	+33 07	
  394	01 08.4	+33 08	
  389	01 08.5	+39 42	
  397	01 08.5	+33 06	
  393	01 08.6	+39 40	
I  77	01 08.7	-15 25	
  398	01 08.8	+32 30	
I  78	01 08.8	-15 51	
I  79	01 08.8	-15 57	  0.7
I1628	01 08.8	-28 35	  1.4
I1631	01 08.8	-46 29	  1.3
  422	01 08.9	-71 46	
I  80	01 08.9	-15 24	
  399	01 09.0	+32 37	
  400	01 09.0	+32 44	
  401	01 09.1	+32 46	
I  82	01 09.1	-16 00	
  402	01 09.2	+32 49	
  403	01 09.2	+32 45	  2.1
I  81	01 09.2	-01 41	
I1644	01 09.2	-73 12	
I1641	01 09.3	-71 46	
  404	01 09.4	+35 43	  4.4
I1629	01 09.4	+02 34	
  409	01 09.5	-35 48	  1.5
  413	01 09.5	-02 50	
I1633	01 09.9	-45 56	  3.0
  415	01 10.2	-35 29	
  412	01 10.3	-20 01	
I  83	01 10.5	+01 41	  0.5
  407	01 10.6	+33 07	  2.0
  418	01 10.6	-30 13	  2.3
I1632	01 10.7	+17 41	
  408	01 10.9	+33 06	
  410	01 11.0	+33 09	  2.6
I1637	01 11.0	-30 26	  1.8
  417	01 11.1	-18 10	
I1634	01 11.1	+17 39	
I1635	01 11.1	+17 39	
  414	01 11.3	+33 06	
  423	01 11.4	-29 13	
  424	01 11.5	-38 05	  2.1
I  84	01 11.5	+01 39	
I1636	01 11.6	+33 21	
  432	01 11.8	-61 32	  1.5
I  85	01 11.8	-00 28	
I1639	01 11.8	-00 39	  0.8
I1649	01 11.8	-55 51	  1.6
I1640	01 11.9	-00 37	
I1655	01 11.9	-71 20	
  420	01 12.1	+32 06	
  421	01 12.1	+32 09	
  434	01 12.2	-58 15	  1.9
I1643	01 12.2	-00 24	
I1638	01 12.3	+33 21	  0.4
I1650	01 12.3	-50 24	  1.5
I1642	01 12.4	+15 45	
  427	01 12.5	-32 03	
I1645	01 12.5	+15 44	
I1660	01 12.6	-71 45	
I1662	01 12.6	-73 27	
I1646	01 12.7	+15 41	  0.5
  426	01 12.9	-00 17	
  428	01 12.9	+00 59	  4.1
  440	01 12.9	-58 17	  1.0
  425	01 13.0	+38 48	
  429	01 13.0	-00 20	
  430	01 13.1	-00 15	
I1647	01 13.2	+38 53	
  438	01 13.4	-37 56	
I  86	01 13.5	-16 14	
I1651	01 13.5	+02 06	
I1648	01 13.7	+33 13	
  439	01 13.8	-31 45	
  435	01 14.0	+02 04	
  441	01 14.0	-31 47	
I1657	01 14.1	-32 39	  2.1
I1663	01 14.1	-32 39	
  431	01 14.2	+33 44	
I  87	01 14.3	+00 46	
I1664	01 14.3	-69 48	
  437	01 14.4	+05 56	
  454	01 14.4	-55 24	  1.9
  456	01 14.4	-73 17	 15.0
I  88	01 14.5	+00 48	
  442	01 14.6	-01 01	  1.2
  460	01 14.8	-72 18	
  445	01 14.9	+01 56	
  446	01 14.9	+04 11	
  458	01 14.9	-71 33	
I1652	01 15.0	+31 58	  1.4
  443	01 15.1	+33 23	
I1653	01 15.1	+33 23	  1.1
I1654	01 15.2	+30 12	  1.6
  433	01 15.3	+60 08	  3.0
  448	01 15.3	-01 37	
  450	01 15.5	-00 52	  3.2
  465	01 15.5	-73 20	
  436	01 15.6	+58 49	  6.0
  447	01 15.6	+33 04	  2.6
I1656	01 15.6	+33 05	
I1658	01 15.8	+31 05	
  444	01 15.9	+31 05	
