#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-14T18:54:22 [V7.4.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-14T18:54:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2F21%2Fcatalog&-out.max=unlimited&-out.form=TSV&-out.meta=true&-out=VdB+_RA+_DE+BRadMax+RRadMax&-oc.form=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7021
#Name: VII/21
#Title: Catalogue of Reflection Nebulae (Van den Bergh, 1966)
#INFO	ivoid=ivo://cds.vizier/vii/21	    IVOID of underlying data collection
#INFO	creator=Van den Bergh S.	    First author or institution
#INFO	cites=bibcode:1966AJ.....71..990V	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=1966	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/21	    Dataset landing page
#INFO	publication_date=2022-11-13	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	VII_21_catalog:
#Name: VII/21/catalog
#Title: The catalogue (Table I of publication) (corrected version, 13-Nov-2022)
#Column	VdB	(I3)		[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)		[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)		[ucd=pos.eq.dec;meta.main]
#Column	BRadMax	(F5.1)		[ucd=phys.angSize]
#Column	RRadMax	(F5.1)		[ucd=phys.angSize]
 	deg	deg	arcmin	arcmin
 59	086.68607	+00.08966	  6.8	  6.8
 60	086.78297	+00.29895	  4.3	  4.0
 61	088.15473	+05.16460	  0.6	
 62	088.51246	+01.67273	  1.4	  1.4
 63	089.07291	+01.86472	  0.3	  0.3
 64	089.47536	-14.06113	  0.6	  0.3
 65	091.12500	+30.51667	  2.3	  1.4
 66	090.77230	-09.71654	  0.9	
 67	091.88267	-06.39935	  1.1	  1.1
 68	092.01603	-06.22708	  3.4	  2.8
 69	092.02159	-06.36126	  3.1	  1.4
 70	092.10950	-05.33958	  6.0	  4.0
 71	092.50692	+14.07517	  1.7	
 72	092.38022	-06.32578	  2.3	  1.7
 73	092.77562	-06.21077	  1.4	  1.1
 74	092.95332	-06.15771	  0.6	  0.6
 75	094.84385	+23.27451	  3.4	  1.7
 76	097.69607	+10.06290	     	
 77	097.74131	+09.80960	  0.9	
 78	097.81194	+09.79028	  2.8	
 79	097.93049	+10.33915	  2.6	
 80	097.70755	-09.65411	  5.7	  2.3
 81	098.22595	+07.33297	 18.0	  4.3
 82	098.27163	+10.32222	  3.1	  1.7
 83	099.92500	-27.25000	  0.3	
 84	100.01985	-27.39824	  1.4	
 85	101.71515	+01.31582	  1.1	  1.1
 86	104.28304	-10.27987	  2.0	  2.0
 87	105.11921	-08.86602	  1.4	  1.4
 88	105.45629	-11.30092	  7.1	  6.2
 89	105.66101	-12.23377	  1.1	
 90	105.67756	-11.45321	  4.0	  4.0
 91	105.85232	-10.70454	  0.9	  0.3
 92	105.97858	-11.57613	  2.0	
 93	106.10633	-10.45434	 10.0	  8.5
 94	106.31978	-12.32625	  5.6	  5.6
 95	106.66986	-11.29401	  2.8	  2.5
 96	109.90622	-24.02437	  2.8	  0.3
 97	113.12500	-16.90000	  1.1	  0.6
 98	114.13259	-25.33278	  8.0	
 99	239.71297	-26.11411	100.0	 43.0
100	242.99890	-19.46070	  5.7	
101	244.78217	-20.21807	  4.3	  5.7
102	245.01658	-20.04487	  7.1	  2.8
103	245.12611	-20.11772	  4.5	
104	245.29715	-25.59279	 28.0	
105	246.35132	-24.46571	 14.0	  4.3
106	246.39632	-23.44717	 31.0	 16.0
107	247.35192	-26.43200	 41.0	117.0
108	247.55198	-25.11522	 14.0	  4.8
109	250.39326	-17.74217	 18.0	 13.0
110	259.02706	-21.03286	  0.6	  0.3
111	259.71995	+06.08545	  6.2	  4.0
112	268.38026	-05.61940	  0.6	  0.6
113	272.16078	-21.44956	  8.5	
114	272.12500	-18.38333	  0.6	
115	272.28499	-23.43535	  0.9	  0.3
116	272.66183	-17.73393	  0.3	
117	273.65826	-17.36294	  1.1	
118	274.21860	-19.77781	  2.6	  0.9
119	274.27431	-19.86466	  2.8	  1.4
120	274.31986	-16.92863	  0.6	  0.6
121	275.06640	-17.00418	  0.3	  0.3
122	276.13958	-13.65355	  0.6	  0.6
123	277.60365	+01.22323	  1.7	  1.1
124	277.85706	-10.79584	 18.0	  3.1
125	291.50366	+15.55685	  0.6	
126	291.54715	+22.75729	  4.0	
127	296.84694	+18.53431	 28.0	 33.0
128	301.15073	+32.21860	  4.0	  3.7
129	302.82619	-00.82146	 48.0	 48.0
130	304.42581	+39.34955	  0.3	  0.6
131	306.06548	+42.30038	  2.8	
132	306.19430	+42.38480	  2.8	
133	307.74679	+36.93584	  5.7	  5.7
134	307.51475	+48.95157	 11.0	 11.0
135	309.18994	+32.45461	  0.9	  1.4
136	309.57155	+42.07368	  2.0	  4.3
137	313.95752	+47.41766	  6.8	  4.8
138	314.31910	+48.29577	  3.7	
139	315.40384	+68.16327	  8.5	  5.7
140	319.32829	+58.61148	 10.0	  3.1
141	319.10970	+68.26015	  1.7	  4.2
142	324.17099	+57.50229	  0.6	  0.3
143	324.23773	+68.18536	  4.8	  0.9
144	325.18045	+54.87216	  1.7	  1.4
145	325.90486	+48.88376	  4.3	  4.3
146	325.70908	+66.10977	  4.5	  1.4
147	328.14208	+47.22878	  0.9	  0.6
148	331.82082	+56.23402	  1.7	  0.6
149	332.28536	+72.88472	  2.6	
150	332.41719	+73.39090	  5.7	  4.3
151	333.46970	+39.71492	  5.4	  5.4
152	333.35220	+70.25141	  6.8	  2.8
153	335.80109	+62.69997	  1.4	
154	337.80657	+65.46624	  5.1	
155	343.31502	+62.14583	  3.1	  1.7
156	345.48027	+42.32598	 94.0	 94.0
157	345.56555	+72.73040	  2.3	  0.6
158	354.46499	+48.49657	  1.7	  0.6

